Compania,Cliente,SaldoOrden,SaldoFactura
225,   325,0,3.23632318860456E-11
225,   326,-3.75166564481332E-12,1.81898940354585E-12
225,   327,0,0
225,   328,9.09494701772928E-13,5.22959453519433E-12
225,   329,0,-3.63797880709171E-12
225,   330,-3.86535248253494E-12,-3.24007487506605E-12
225,   331,0,0
225,   332,4.54747350886464E-12,0
225,   333,3683.5099999998,100585.92
225,   334,0,0
225,   335,0,7.95807864051312E-13
225,   336,0,0
225,   337,4.54747350886464E-12,-4.97393792819877E-12
225,   338,-3.63797880709171E-12,0
225,   339,0,0
225,   340,-5.45696821063756E-12,2.72848410531878E-12
225,   341,0,0
225,   342,-9.09494701772928E-13,0
225,   343,0,0
225,   344,0,2.83766413144981E-12
225,   345,0,1.36424205265939E-12
225,   346,0,0
225,   347,-1.81898940354585E-12,-8.54641010739065E-13
225,   348,0,0
225,   349,-1.81898940354585E-12,0
225,   350,7.27595761418342E-12,0
225,   351,0,1.02318153949454E-12
225,   352,6.67910171614494E-13,0
225,   353,0,0
225,   354,4.54747350886464E-13,3319.99999999999
225,   355,0,-5.97992141915249E-13
225,   356,0,-2.1884716261411E-12
225,   357,0,0
225,   358,-3.63797880709171E-12,0
225,   359,0,-9.09494701772928E-13
225,   360,-4.54747350886464E-13,-1.81898940354585E-12
225,   361,-7.27595761418342E-12,0
225,   362,0,0
225,   363,0,1.04782849064122E-11
225,   364,0,0
225,   365,0,1.35003119794419E-13
225,   366,0,0
225,   367,-1.81898940354585E-12,9.42996722375078E-12
225,   368,0,-3.59257068538454E-12
225,   369,0,0
225,   370,0,0
225,   371,0,3.71074872218546E-12
225,   372,0,0
225,   375,0,0
225,   376,4.2632564145606E-13,0
225,   377,0,2.27373675443232E-12
225,   378,0,0
225,   379,0,1.81898940354585E-12
225,   380,0,-4.54747350886464E-13
225,   381,0,0
225,   382,0,3.52429196937009E-12
225,   383,-1.81898940354585E-11,3.73034936274052E-13
225,   384,-7.73070496506989E-12,0
225,   385,0,0
225,   386,0,0
225,   387,0,0
225,   388,0,5.6843418860808E-13
225,   389,0,1.26192389870993E-11
225,   391,0,2.23820961764431E-12
225,   392,-1.45519152283668E-11,9.09494701772928E-13
225,   393,2.72848410531878E-12,0
225,   394,0.0299999996987025,3499.72000000003
225,   395,2.60058641288196E-12,0
225,   396,7.95807864051312E-13,0
