Compania,Orden,Posicion,FechaMov,Hora,Secuencia,TipoReg,Cantidad,Articulo
225,183831,40,04/11/2020,82025,3,3,5.075,KS230120322     
225,183831,50,04/11/2020,82025,4,3,5.075,KS230220322     
225,183831,60,04/11/2020,82025,5,3,4,KS290020323     
225,183831,70,09/11/2020,78399,1,3,5.2,KS320020427     
225,183831,80,09/11/2020,78400,12,3,6.825,KS290020426     
225,183831,90,13/11/2020,79857,7,3,9.325,KS290020426     
225,183831,100,23/11/2020,78613,5,3,5.3,KS320020427     
225,183837,10,06/11/2020,81033,0,3,2.975,KS230020962     
225,183874,20,06/11/2020,81038,12,3,1.05,220012035       
225,183874,30,06/11/2020,81038,14,3,4.125,220012037       
225,183846,10,09/11/2020,78396,5,3,1.2,KS400018043     
225,183847,10,17/11/2020,78722,7,3,2,KS400020401     
225,183859,20,12/11/2020,77455,7,3,0.87,11002527        
225,183859,30,12/11/2020,77455,8,3,0.87,03012527        
225,183872,20,03/11/2020,82879,2,3,5.6,KS360020590     
225,183872,20,03/11/2020,82881,0,3,17.5,KS360020590     
225,183872,100,03/11/2020,82883,0,3,9,KS360020589     
225,183872,100,03/11/2020,82886,1,3,18,KS360020589     
225,183872,140,03/11/2020,82879,3,3,11.383,KS360020591     
225,183873,30,03/11/2020,82885,7,3,12.25,KS360020590     
225,183873,50,03/11/2020,82883,2,3,33,KS360020589     
225,183873,50,03/11/2020,82885,8,3,17.6,KS360020589     
225,183898,20,06/11/2020,81038,8,3,3,KS230018610     
225,183902,10,03/11/2020,82887,4,3,1.4,KS230016251     
225,183902,30,11/11/2020,81880,12,3,1.026,110018692       
225,183902,70,11/11/2020,81880,13,3,1.76,KS230017041     
225,183884,10,09/11/2020,78393,4,3,1.59999999999999,KS320019831     
225,183893,10,03/11/2020,82879,8,3,6.725,KS320019907     
225,183893,10,03/11/2020,82882,3,3,6.1,KS320019907     
225,183893,10,13/11/2020,79851,4,3,3.7,KS320019907     
225,183893,10,17/11/2020,78725,5,3,7.4,KS320019907     
225,183893,10,23/11/2020,78611,12,3,7,KS320019907     
225,183903,30,26/11/2020,76889,4,3,1.5,030015136       
225,183897,10,05/11/2020,80126,11,3,8.05,KS400020986     
225,183913,10,17/11/2020,78720,4,3,2.5,010019689       
225,183915,10,23/11/2020,78614,8,3,2.01,120012780       
225,183917,10,23/11/2020,78613,10,3,2,KS320017888     
225,183918,10,23/11/2020,78613,11,3,2.1,KS320019129     
225,183919,10,19/11/2020,78862,11,3,1.025,KS320016253     
225,183919,30,09/11/2020,78401,0,3,2.1,KS320018667     
225,183919,50,09/11/2020,78399,11,3,1,KS320020358     
225,183919,70,28/11/2020,45873,1,3,1.2,KS320016708     
225,183919,90,09/11/2020,78399,6,3,3.09,KS320018380     
225,183919,110,09/11/2020,78399,12,3,1,KS320020554     
225,183919,120,09/11/2020,78399,7,3,0.7,22009342        
225,183919,130,12/11/2020,77452,2,3,1.03,KS320015511     
225,183919,140,11/11/2020,81877,3,3,1.025,KS320015643     
225,183919,150,18/11/2020,79334,5,3,4.175,KS320015710     
225,183919,160,03/11/2020,82890,2,3,5.225,KS290017367     
225,183919,170,25/11/2020,78501,5,3,1.025,KS320016711     
225,183919,180,10/11/2020,81376,6,3,10.1,KS290017258     
225,183922,20,03/11/2020,82884,8,3,2.025,KS360019341     
225,183924,10,23/11/2020,78609,12,3,2.075,BS360020187     
225,183925,20,23/11/2020,78613,12,3,1.1,KS360020926     
225,183926,10,04/11/2020,82024,3,3,2.05,BS400018173     
225,183927,10,04/11/2020,82024,4,3,2.1,KS360019744     
225,183928,10,04/11/2020,82025,0,3,1.05,KS290019319     
225,183934,10,23/11/2020,78609,13,3,2,KS320018299     
225,183935,10,23/11/2020,78614,0,3,1,KS320018594     
225,184052,10,11/11/2020,81877,2,3,16.65,BS290020453     
225,184052,10,17/11/2020,78727,1,3,15,BS290020453     
225,184052,10,19/11/2020,78859,2,3,21.6,BS290020453     
225,183942,30,05/11/2020,80126,3,3,1.95,BS290017230     
225,183942,40,03/11/2020,82886,0,3,1.1,KS260017648     
225,183943,10,17/11/2020,78719,0,3,18,BS400019410     
225,183947,10,10/11/2020,81377,16,3,7,KS550020869     
225,183949,10,04/11/2020,82021,1,3,2.155,KD420017785     
225,183950,20,10/11/2020,81377,7,3,3.69,KD420021034     
225,183950,30,26/11/2020,76884,10,3,3.03,KD420021034     
225,183951,10,05/11/2020,80127,7,3,1.5,KS400021033     
225,183951,10,05/11/2020,80127,9,3,4.4,KS400021033     
225,183951,20,17/11/2020,78730,10,3,2.045,KS260021036     
225,183952,30,05/11/2020,80127,8,3,2.093,KS320021037     
225,183953,10,09/11/2020,78403,2,3,0.55,KS230020828     
225,183957,10,04/11/2020,82028,3,3,5,KS260019589     
225,183957,20,04/11/2020,82028,4,3,5,KS230019711     
225,183958,20,10/11/2020,81375,4,3,5.175,KS440020373     
225,183961,10,09/11/2020,78402,11,3,10.5,020016690       
225,183962,10,19/11/2020,78863,5,3,5.25,020014501       
225,183964,10,13/11/2020,79856,0,3,5,210013359       
225,183964,10,13/11/2020,79856,3,3,1.25,210013359       
225,183965,10,03/11/2020,82889,4,3,3.3,KS260019365     
225,183969,10,10/11/2020,81375,6,3,2.575,KS400020509     
225,183945,10,18/11/2020,79339,10,3,2.625,KS230017156     
225,183970,20,05/11/2020,80125,12,3,5.25,KD420019615     
225,183970,30,04/11/2020,82028,5,3,10.5,KD420019615     
225,183980,10,06/11/2020,81033,2,3,1.95,KD420018931     
225,183980,10,06/11/2020,81033,3,3,3.075,KD420018931     
225,183959,10,10/11/2020,81375,5,3,5.25,KS320019602     
225,183959,20,18/11/2020,79338,8,3,5,KS320019602     
225,183959,30,25/11/2020,78505,0,3,4.925,KS320019602     
225,183981,10,04/11/2020,82021,5,3,3.65,BS320019381     
225,183982,10,11/11/2020,81879,9,3,5.5,KS400019055     
225,183982,10,11/11/2020,81880,0,3,4.9,KS400019055     
225,183982,20,17/11/2020,78726,6,3,5.25,KS400019055     
225,183983,10,18/11/2020,79338,9,3,2.4,KD420019670     
225,183983,10,18/11/2020,79339,15,3,2.85,KD420019670     
225,183974,10,06/11/2020,81035,3,3,7.75,BS400020195     
225,183974,20,06/11/2020,81033,4,3,9.45,BS400020196     
225,184043,10,12/11/2020,77451,7,3,10.3,BS260020648     
225,184043,20,12/11/2020,77451,8,3,10.3,KS260120648     
225,184044,20,24/11/2020,76794,0,3,1,KS290019008     
225,184045,10,09/11/2020,78399,15,3,10.4,KS230019086     
225,183972,10,03/11/2020,82887,5,3,2.7,KD480020190     
225,183972,10,03/11/2020,82888,5,3,2.67,KD480020190     
225,184053,10,18/11/2020,79334,6,3,10.3,KS290017258     
225,184053,50,09/11/2020,78399,8,3,1,220014598       
225,184054,10,09/11/2020,78402,8,3,11.45,030012631       
225,184054,20,09/11/2020,78401,1,3,1.05,KS320020559     
225,184055,40,18/11/2020,79334,7,3,1.025,KS320015646     
225,184055,80,12/11/2020,77452,3,3,2.05,KS320018134     
225,184055,90,09/11/2020,78399,13,3,1,KS320018744     
225,184055,110,12/11/2020,77452,4,3,1.025,KS320020507     
225,184055,140,11/11/2020,81877,4,3,1,KS320017239     
225,184055,150,11/11/2020,81878,0,3,1,KS320017239     
225,184066,20,17/11/2020,78725,2,3,2.1,KS320017428     
225,184066,30,27/11/2020,77459,11,3,3.09,KS320017428     
225,184066,40,18/11/2020,79334,8,3,1.05,KS400017427     
225,184066,50,25/11/2020,78501,6,3,0.7,KS400017427     
225,184066,60,27/11/2020,77459,12,3,2.06,KS320018666     
225,184066,70,11/11/2020,81878,1,3,0.9,KS320018814     
225,184066,80,28/11/2020,45873,2,3,1,KS320016708     
225,184066,120,11/11/2020,81878,2,3,4.938,KS290017367     
225,184066,130,11/11/2020,81878,3,3,4.937,KS290017367     
225,184066,140,25/11/2020,78501,7,3,5.25,KS290017367     
225,184022,10,03/11/2020,82879,4,3,0.89,KS260021038     
225,183979,10,03/11/2020,82888,3,3,1.56,KD480017878     
225,183979,20,03/11/2020,82888,4,3,1.56,KD480117733     
225,184024,10,03/11/2020,82889,11,3,1.59,050017777       
225,184024,20,17/11/2020,78730,1,3,2.078,050017776       
225,184024,30,03/11/2020,82889,12,3,1.1,KS400018135     
225,184025,10,03/11/2020,82888,1,3,1.08,KS320017949     
225,184025,10,06/11/2020,81035,1,3,0.8,KS320017949     
225,184025,10,09/11/2020,78396,2,3,2.52,KS320017949     
225,184025,10,09/11/2020,78398,14,3,2.88,KS320017949     
225,184025,10,12/11/2020,77452,12,3,2.52,KS320017949     
225,184025,20,17/11/2020,78729,3,3,2.52,KS320017949     
225,184025,20,20/11/2020,77531,6,3,2.52,KS320017949     
225,184025,20,24/11/2020,76793,1,3,2.52,KS320017949     
225,184025,20,27/11/2020,77460,7,3,2.52,KS320017949     
225,183986,10,10/11/2020,81377,14,3,0.337,BD420018967     
225,184026,10,04/11/2020,82027,5,3,4.2,KS230018729     
225,184026,20,04/11/2020,82027,6,3,4.2,KS260018850     
225,184026,30,04/11/2020,82027,7,3,2.1,KS260020724     
225,184016,10,04/11/2020,82026,5,3,10.5,KS230018724     
225,184016,20,04/11/2020,82026,6,3,4.2,KS230018845     
225,184005,10,13/11/2020,79855,1,3,25,010015473       
225,183987,10,20/11/2020,77534,1,3,0.999999999999999,KS320019887     
225,184028,10,04/11/2020,82026,1,3,10.2,02008398        
225,184029,30,09/11/2020,78397,8,3,1.69,KD480020932     
225,184030,10,05/11/2020,80127,0,3,3.6,KD420016612     
225,184030,10,05/11/2020,80128,3,3,1.35,KD420016612     
225,184030,30,05/11/2020,80125,5,3,18,KD420016605     
225,184030,30,05/11/2020,80125,13,3,2.9,KD420016605     
225,184030,40,09/11/2020,78397,9,3,0.7,KD480016606     
225,184030,40,09/11/2020,78401,11,3,2.8,KD480016606     
225,184030,40,17/11/2020,78730,3,3,0.852,KD480016606     
225,184030,40,19/11/2020,78860,13,3,0.278,KD480016606     
225,184030,50,04/11/2020,82029,3,3,1.2,KD480019731     
225,184032,10,06/11/2020,81034,3,3,1.5,BD510020775     
225,184032,10,09/11/2020,78397,10,3,0.7,BD510020775     
225,184032,20,04/11/2020,82029,4,3,0.7,KD480020841     
225,184032,20,05/11/2020,80128,4,3,0.28,KD480020841     
225,184032,30,04/11/2020,82029,5,3,1.32,KD480016590     
225,184032,30,05/11/2020,80125,14,3,4.2,KD480016590     
225,184032,30,05/11/2020,80127,1,3,3.92,KD480016590     
225,184032,30,05/11/2020,80128,5,3,1.66,KD480016590     
225,184036,20,09/11/2020,78397,11,3,1,KD420016610     
225,184036,70,04/11/2020,82020,4,3,4.22,KD480019475     
225,184037,10,04/11/2020,82029,1,3,2.5,KS320021040     
225,184038,10,04/11/2020,82027,0,3,4,KS290021039     
225,184013,10,24/11/2020,76791,1,3,2,KS290021039     
225,184013,10,24/11/2020,76795,2,3,18,KS290021039     
225,184039,10,04/11/2020,82023,6,3,0.98,KS510116793     
225,184039,20,04/11/2020,82023,7,3,0.98,KS440016793     
225,184033,10,13/11/2020,79853,5,3,1.15,KS710018705     
225,184033,20,03/11/2020,82884,3,3,1.65,KS710020362     
225,184035,10,04/11/2020,82026,2,3,0.9,KS320016806     
225,184035,20,04/11/2020,82026,3,3,0.9,KS550116806     
225,184056,10,05/11/2020,80128,2,3,3.1,KS290018637     
225,184056,20,19/11/2020,78860,3,3,3.15,KS290018558     
225,184050,10,09/11/2020,78402,4,3,10.5,030016181       
225,184050,20,09/11/2020,78402,5,3,10.5,030116181       
225,184057,10,06/11/2020,81038,9,3,1,KS230020513     
225,184059,10,19/11/2020,78860,11,3,0.49,110019263       
225,184060,10,12/11/2020,77453,3,3,6.6,BS440019654     
225,184060,20,12/11/2020,77453,4,3,13.2,010114419       
225,184060,30,12/11/2020,77453,5,3,6.6,010214419       
225,184061,10,03/11/2020,82879,5,3,6.125,KS260020893     
225,184063,10,03/11/2020,82881,8,3,0.84,KS400019323     
225,184064,10,10/11/2020,81376,9,3,1.8,KS400019323     
225,184064,10,10/11/2020,81376,13,3,1.8,KS400019323     
225,184064,20,10/11/2020,81377,17,3,1.76,KS400019323     
225,184064,20,26/11/2020,76887,1,3,1.8,KS400019323     
225,184064,20,26/11/2020,76888,13,3,1.95,KS400019323     
225,184071,10,05/11/2020,80127,10,3,3.135,KD420020911     
225,184072,10,05/11/2020,80127,11,3,4.4,KS260020079     
225,184072,10,05/11/2020,80127,13,3,2,KS260020079     
225,184109,20,03/11/2020,82885,4,3,4.98,KD820020988     
225,184109,40,03/11/2020,82890,4,3,3.99,KD820020990     
225,184109,50,03/11/2020,82890,5,3,4.5,KS440021022     
225,184109,60,03/11/2020,82885,5,3,5.46,KD820020991     
225,184332,10,17/11/2020,78728,3,3,1.05,KS400018654     
225,184332,20,17/11/2020,78728,4,3,1.05,KS400018655     
225,184079,10,03/11/2020,82889,5,3,2.2,BS400020403     
225,184080,10,03/11/2020,82888,6,3,25,010015696       
225,184081,10,03/11/2020,82888,10,3,25,010015474       
225,184082,10,13/11/2020,79853,4,3,14.275,BS400019637     
225,184083,20,03/11/2020,82885,14,3,6.325,KS400014885     
225,184123,10,17/11/2020,78731,11,3,1,KS290021041     
225,184084,10,09/11/2020,78402,15,3,22.525,KS290019809     
225,184076,10,04/11/2020,82020,5,3,3.9,040010551       
225,184076,10,04/11/2020,82027,2,3,3.45,040010551       
225,184076,20,04/11/2020,82020,6,3,3.9,040110551       
225,184076,20,04/11/2020,82027,3,3,3.45,040110551       
225,184076,30,04/11/2020,82021,0,3,23.4,030210551       
225,184076,30,04/11/2020,82027,4,3,20.7,030210551       
225,184124,10,09/11/2020,78400,3,3,0.3,KS360020709     
225,184086,10,20/11/2020,77531,3,3,4.394,010017883       
225,184086,10,20/11/2020,77533,3,3,3.92,010017883       
225,184086,10,23/11/2020,78609,8,3,1.4,010017883       
225,184112,10,19/11/2020,78862,5,3,2.575,KS320017369     
225,184113,10,03/11/2020,82890,3,3,4.5,KS230020193     
225,184113,10,05/11/2020,80126,4,3,0.5,KS230020193     
225,184113,10,12/11/2020,77453,13,3,1.3,KS230020193     
225,184156,40,19/11/2020,78862,12,3,2,030014744       
225,184156,60,13/11/2020,79853,2,3,2.055,KD510015961     
225,184157,10,17/11/2020,78725,3,3,15.65,KS290017256     
225,184158,10,09/11/2020,78401,2,3,4.125,KS320018532     
225,184159,10,27/11/2020,77459,13,3,2.1,KS320018532     
225,184159,10,28/11/2020,45873,3,3,1.05,KS320018532     
225,184090,10,03/11/2020,82880,0,3,15,030019843       
225,184090,10,03/11/2020,82881,2,3,13.125,030019843       
225,184090,10,03/11/2020,82882,4,3,16.875,030019843       
225,184090,10,03/11/2020,82890,7,3,15,030019843       
225,184090,10,05/11/2020,80127,2,3,13.125,030019843       
225,184090,10,06/11/2020,81036,0,3,15,030019843       
