Compania,Almacen,Articulo,Stock
225,PTM,KS320019907     ,75625
225,PTM,KS320019962     ,775
225,PTM,KS320020119     ,5000
225,PTM,KS320020120     ,30000
225,PTM,KS320020255     ,8070
225,PTM,KS320020313     ,6275
225,PTM,KS320020378     ,13575
225,PTM,KS320020390     ,687
225,PTM,KS320020416     ,900
225,PTM,KS320020424     ,1275
225,PTM,KS320020431     ,1025
225,PTM,KS320020463     ,1350
225,PTM,KS320020490     ,6325
225,PTM,KS320020585     ,1500
225,PTM,KS320020651     ,2500
225,PTM,KS320020669     ,1000
225,PTM,KS320020699     ,2000
225,PTM,KS320020863     ,2075
225,PTM,KS320021035     ,1525
225,PTM,KS320021077     ,2100
225,PTM,KS320021086     ,15150
225,PTM,KS320021097     ,10630
225,PTM,KS320021103     ,3825
225,PTM,KS360017821     ,7143
225,PTM,KS360018419     ,2889
225,PTM,KS360018422     ,3075
225,PTM,KS360019619     ,4200
225,PTM,KS360020283     ,10800
225,PTM,KS360020284     ,2625
225,PTM,KS360020384     ,2000
225,PTM,KS360020436     ,1975
225,PTM,KS360020550     ,2000
225,PTM,KS360020588     ,2250
225,PTM,KS360020590     ,1350
225,PTM,KS360020591     ,5250
225,PTM,KS360020592     ,1522
225,PTM,KS360020630     ,38520
225,PTM,KS360020736     ,5802
225,PTM,KS360020843     ,2000
225,PTM,KS400016316     ,965
225,PTM,KS400016997     ,1875
225,PTM,KS400016998     ,425
225,PTM,KS400017948     ,8388
225,PTM,KS400018261     ,1500
225,PTM,KS400018783     ,3000
225,PTM,KS400019055     ,9415
225,PTM,KS400019323     ,10
225,PTM,KS400019663     ,418
225,PTM,KS400019665     ,725
225,PTM,KS400019667     ,8250
225,PTM,KS400019835     ,60000
225,PTM,KS400019848     ,1000
225,PTM,KS400020552     ,2000
225,PTM,KS400020553     ,1000
225,PTM,KS400020986     ,16500
225,PTM,KS400021033     ,10825
225,PTM,KS400116316     ,965
225,PTM,KS440019639     ,5250
225,PTM,KS440020308     ,3150
225,PTM,KS440020445     ,2450
225,PTM,KS440021022     ,5000
225,PTM,KS550019998     ,5000
225,PTM,KS550020869     ,14125
225,PTM,MCA0301006      ,350
225,PTM,MPF101510204    ,8.00248756149812E-13
225,PTM,MPF101511804    ,9.74986757995566E-12
225,PTM,MPF101512204    ,1.82076576038525E-14
225,PTM,MPF102008802    ,1.22236075428272E-12
225,PTM,MPF102008804    ,4.18366730148278E-13
225,PTM,MPF102010302    ,1.31331143876645E-13
225,PTM,MPF102011804    ,5.09320363661913E-12
225,PTM,MPF102012204    ,2.40107933535682E-12
225,PTM,MPF102508804    ,1.13686837721616E-13
225,PTM,MPF102510301    ,9.09494701772928E-13
225,PTM,MPF102510602    ,7.10133557860204E-13
225,PTM,MPF103009901    ,4.54747350886464E-13
225,PTM,MPF103510302    ,5.136828462593E-13
225,PTM,MPF103511802    ,1.2281824862681E-12
