Compania,Orden,Posicion,Entrega,TipoTrans,NumFac,Articulo,FchFac,Cliente
225,183224,10,0,FAT,170719,KS320017949     ,23/09/2020,902
225,183224,20,0,FAT,171169,KS320017949     ,06/10/2020,902
225,183224,30,0,FAT,171706,KS320017949     ,20/10/2020,902
225,183226,10,0,FAT,170562,KS360019537     ,19/09/2020,1021
225,182543,20,3,FAT,173347,KS320019833     ,28/11/2020,871
225,58167,10,0,FAT,171200,BS400020406     ,06/10/2020,474
225,183241,10,0,FAT,171195,KS290020198     ,06/10/2020,6047
225,183246,40,0,FAT,170509,KS440019378     ,18/09/2020,792
225,183246,50,0,FAT,170886,KS440019378     ,28/09/2020,792
225,183246,60,0,FAT,171792,KS440019378     ,22/10/2020,792
225,183250,10,0,FAT,170697,KS360117938     ,22/09/2020,907
225,183250,20,0,FAT,170697,KS360016024     ,22/09/2020,907
225,183253,10,0,FAT,171604,KS230018984     ,16/10/2020,262
225,183253,20,0,FAT,171604,KS230018724     ,16/10/2020,262
225,183253,30,0,FAT,171604,KS230018845     ,16/10/2020,262
225,183253,40,0,FAT,172286,KS230018793     ,04/11/2020,262
225,183253,60,0,FAT,171604,KS230018827     ,16/10/2020,262
225,183253,70,0,FAT,171604,KS230018726     ,16/10/2020,262
225,183259,10,0,FAT,170526,KS400017402     ,18/09/2020,987
225,183259,20,0,FAT,170874,KS400017402     ,28/09/2020,987
225,183259,30,0,FAT,170947,KS400018260     ,30/09/2020,987
225,183259,40,0,FAT,171451,KS400017402     ,13/10/2020,987
225,183259,50,0,FAT,171465,KS400018260     ,13/10/2020,987
225,183259,60,0,FAT,172183,KS400017402     ,01/11/2020,987
225,183259,70,0,FAT,171602,KS400018260     ,16/10/2020,987
225,183259,80,0,FAT,172613,KS400017402     ,11/11/2020,987
225,183259,90,0,FAT,172184,KS400018260     ,01/11/2020,987
225,183259,100,0,FAT,173295,KS400017402     ,27/11/2020,987
225,183261,60,0,FAT,170748,KS290017256     ,24/09/2020,298
225,183261,80,0,FAT,170582,KS290017258     ,19/09/2020,298
225,183262,10,0,FAT,171310,240013662       ,08/10/2020,298
225,183262,20,0,FAT,171599,KS320018886     ,16/10/2020,298
225,183262,30,0,FAT,171309,KS320015646     ,08/10/2020,298
225,183262,50,0,FAT,171309,KS320019789     ,08/10/2020,298
225,183262,60,0,FAT,172459,KS320015654     ,08/11/2020,298
225,183262,80,0,FAT,171460,KS320015710     ,13/10/2020,298
225,183262,90,0,FAT,171535,KS320018563     ,14/10/2020,298
225,183262,100,0,FAT,172462,KS320018563     ,08/11/2020,298
225,183262,110,0,FAT,173388,KS320018563     ,30/11/2020,298
225,183262,120,0,FAT,171599,KS290017258     ,16/10/2020,298
225,183263,10,0,FAT,171284,KS290018896     ,08/10/2020,576
225,183263,20,0,FAT,170528,KS360018979     ,18/09/2020,576
225,183263,30,0,FAT,171286,KS360018911     ,08/10/2020,576
225,183266,10,0,FAT,170784,KS400019835     ,25/09/2020,1021
225,183269,10,0,FAT,170580,010115814       ,19/09/2020,864
225,183273,10,0,FAT,170897,KS710016235     ,28/09/2020,51
